path,column_name,assay,osmolyte,condition_mM,cell_id,rotation_direction,fps,source_kind,source_path,sign_adjustment,time_bin_s,reduction,frame_reference_fps
data/time-series/bead/sodium_500mM.parquet,cell7,Sodium,sodium,500,cell7,CCW,300,legacy_csv,data/Bead-assays/Sodium/speeds/500mM/freq-500-cell7.csv,none,0.1,mean_bin,300
data/time-series/bead/sodium_500mM.parquet,cell8,Sodium,sodium,500,cell8,CCW,300,legacy_csv,data/Bead-assays/Sodium/speeds/500mM/freq-500-cell8.csv,none,0.1,mean_bin,300
data/time-series/bead/sodium_500mM.parquet,cell9,Sodium,sodium,500,cell9,CCW,300,legacy_csv,data/Bead-assays/Sodium/speeds/500mM/freq-500-cell9.csv,none,0.1,mean_bin,300
data/time-series/bead/sorbitol_200mM.parquet,cell1,Sorbitol,sorbitol,200,cell1,CCW,300,legacy_csv,data/Bead-assays/Sorbitol/speeds/200mM/freq-200-cell1.csv,none,0.1,mean_bin,300
data/time-series/bead/sorbitol_200mM.parquet,cell10,Sorbitol,sorbitol,200,cell10,CCW,300,legacy_csv,data/Bead-assays/Sorbitol/speeds/200mM/freq-200-cell10.csv,none,0.1,mean_bin,300
data/time-series/bead/sorbitol_200mM.parquet,cell11,Sorbitol,sorbitol,200,cell11,CCW,300,legacy_csv,data/Bead-assays/Sorbitol/speeds/200mM/freq-200-cell11.csv,none,0.1,mean_bin,300
data/time-series/bead/sorbitol_200mM.parquet,cell2,Sorbitol,sorbitol,200,cell2,CCW,300,legacy_csv,data/Bead-assays/Sorbitol/speeds/200mM/freq-200-cell2.csv,none,0.1,mean_bin,300
data/time-series/bead/sorbitol_200mM.parquet,cell3,Sorbitol,sorbitol,200,cell3,CCW,300,legacy_csv,data/Bead-assays/Sorbitol/speeds/200mM/freq-200-cell3.csv,none,0.1,mean_bin,300
data/time-series/bead/sorbitol_200mM.parquet,cell5,Sorbitol,sorbitol,200,cell5,CCW,300,legacy_csv,data/Bead-assays/Sorbitol/speeds/200mM/freq-200-cell5.csv,none,0.1,mean_bin,300
data/time-series/bead/sorbitol_200mM.parquet,cell6,Sorbitol,sorbitol,200,cell6,CCW,300,legacy_csv,data/Bead-assays/Sorbitol/speeds/200mM/freq-200-cell6.csv,none,0.1,mean_bin,300
data/time-series/bead/sorbitol_200mM.parquet,cell7,Sorbitol,sorbitol,200,cell7,CCW,300,legacy_csv,data/Bead-assays/Sorbitol/speeds/200mM/freq-200-cell7.csv,none,0.1,mean_bin,300
data/time-series/bead/sorbitol_300mM.parquet,cell10,Sorbitol,sorbitol,300,cell10,CCW,300,legacy_csv,data/Bead-assays/Sorbitol/speeds/300mM/freq-300-cell10.csv,none,0.1,mean_bin,300
data/time-series/bead/sorbitol_300mM.parquet,cell11,Sorbitol,sorbitol,300,cell11,CCW,300,legacy_csv,data/Bead-assays/Sorbitol/speeds/300mM/freq-300-cell11.csv,none,0.1,mean_bin,300
